127.0.0.1 - - [13/Mar/2024:15:03:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:22 +0530] "GET /HostelManagementSystem/welcome_page.jsp HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:22 +0530] "GET /HostelManagementSystem/images/Image3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:22 +0530] "GET /HostelManagementSystem/images/Image2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:22 +0530] "GET /HostelManagementSystem/images/Image4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:22 +0530] "GET /HostelManagementSystem/images/Image5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:40 +0530] "GET /HostelManagementSystem/welcome_page.jsp HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:45 +0530] "GET /HostelManagementSystem/register.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:45 +0530] "GET /HostelManagementSystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:45 +0530] "GET /HostelManagementSystem/register_validations.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:03:49 +0530] "GET /HostelManagementSystem/login.jsp HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:11 +0530] "POST /HostelManagementSystem/LoginServlet HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:11 +0530] "GET /HostelManagementSystem/images/hostel.jpeg HTTP/1.1" 200 261895
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:11 +0530] "GET /HostelManagementSystem/images/luxury.jpeg HTTP/1.1" 200 156794
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:11 +0530] "GET /HostelManagementSystem/images/normal.jpeg HTTP/1.1" 200 214334
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:11 +0530] "GET /HostelManagementSystem/images/deluxe.jpeg HTTP/1.1" 200 92043
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:25 +0530] "GET /HostelManagementSystem/book.jsp?type=luxury HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:04:50 +0530] "POST /HostelManagementSystem/BookingServlet HTTP/1.1" 500 550
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:05:30 +0530] "GET /HostelManagementSystem/home.jsp?username=Abhishek%20Kagithi HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:06:16 +0530] "GET /HostelManagementSystem/PreviousBookingServlet?username=Abhishek%20Kagithi HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:17:12 +0530] "GET /HostelManagementSystem/book.jsp?type=luxury HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:17:45 +0530] "POST /HostelManagementSystem/BookingServlet HTTP/1.1" 500 550
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:17:54 +0530] "GET /HostelManagementSystem/home.jsp?username=Abhishek%20Kagithi HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:20:52 +0530] "GET /HostelManagementSystem/home.jsp?username=Abhishek%20Kagithi HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:23:37 +0530] "GET /HostelManagementSystem/welcome_page.jsp HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:23:50 +0530] "GET /HostelManagementSystem/register.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:23:57 +0530] "GET /HostelManagementSystem/login.jsp HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:24:05 +0530] "GET /HostelManagementSystem/welcome_page.jsp HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:24:07 +0530] "GET /HostelManagementSystem/login.jsp HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:24:51 +0530] "POST /HostelManagementSystem/LoginServlet HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:25:17 +0530] "POST /HostelManagementSystem/LoginServlet HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:26:06 +0530] "GET /HostelManagementSystem/book.jsp?type=luxury HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:26:38 +0530] "POST /HostelManagementSystem/BookingServlet HTTP/1.1" 500 550
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:26:42 +0530] "GET /HostelManagementSystem/home.jsp?username=Abhishek%20Kagithi HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:26:52 +0530] "GET /HostelManagementSystem/welcome_page.jsp HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:35:49 +0530] "GET /HostelManagementSystem/register.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:35:52 +0530] "GET /HostelManagementSystem/login.jsp HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:36:06 +0530] "POST /HostelManagementSystem/LoginServlet HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:36:15 +0530] "GET /HostelManagementSystem/book.jsp?type=normal HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:36:39 +0530] "POST /HostelManagementSystem/BookingServlet HTTP/1.1" 500 550
0:0:0:0:0:0:0:1 - - [13/Mar/2024:15:36:42 +0530] "GET /HostelManagementSystem/home.jsp?username=Abhishek%20Kagithi HTTP/1.1" 200 6088
